base_polo_id,name,sesai_id,city_name,city_sesai_id,created_at,updated_at
166,"MORRO DO OSSO",50933,"PORTO ALEGRE",431490,"2015-11-06 00:00:00","2015-11-06 00:00:00"
166,"IRAPUÁ",49168,"CACAPAVA DO SUL",430280,"2015-11-06 00:00:00","2015-11-06 00:00:00"
164,"PIAÇAGUERA-",47254,"PERUIBE",353760,"2015-11-06 00:00:00","2015-11-06 00:00:00"
166,"POLIDORO",48238,"PORTO ALEGRE",431490,"2015-11-06 00:00:00","2015-11-06 00:00:00"
165,"CAMBOINHAS",48557,"NITEROI",330330,"2015-11-06 00:00:00","2015-11-06 00:00:00"
162,"TARUMÃ",50749,"ARAQUARI",420130,"2015-11-06 00:00:00","2015-11-06 00:00:00"
161,"CAMBIRELA",48933,"PALHOCA",421190,"2015-11-06 00:00:00","2015-11-06 00:00:00"
161,"ITATY (MORRO DOS CAVALOS)",51175,"PALHOCA",421190,"2015-11-06 00:00:00","2015-11-06 00:00:00"
164,"TEKOA KWARAY",50581,"PERUIBE",353760,"2015-11-06 00:00:00","2015-11-06 00:00:00"
161,"TEKOÁ VY'A PORÃ (TEKOA WY`A)",49022,"FLORIANOPOLIS",420540,"2015-11-06 00:00:00","2015-11-06 00:00:00"
164,"TANIGUÁ",47255,"PERUIBE",353760,"2015-11-06 00:00:00","2015-11-06 00:00:00"
158,"ITAÓCA TUPI",47438,"MONGAGUA",353110,"2015-11-06 00:00:00","2015-11-06 00:00:00"
161,"TAvA'I (CANELINHA)",50471,"FLORIANOPOLIS",420540,"2015-11-06 00:00:00","2015-11-06 00:00:00"
169,"SANTO ANTONIO",49097,"MANICORE",130270,"2015-11-06 00:00:00","2015-11-06 00:00:00"
170,"NOVA ESPERANÇA",48673,"MANAQUIRI",130255,"2015-11-06 00:00:00","2015-11-06 00:00:00"
171,"SÃO FRANCISCO DO PATAUÁ",48595,"MANACAPURU",130250,"2015-11-06 00:00:00","2015-11-06 00:00:00"
172,"FORTALEZA",51900,"HUMAITA",130170,"2015-11-06 00:00:00","2015-11-06 00:00:00"
173,"CORREIA",49818,"BORBA",130080,"2015-11-06 00:00:00","2015-11-06 00:00:00"
174,"NOSSA SENHORA APARECIDA DO CORRENTEZA",49159,"ITACOATIARA",130190,"2015-11-06 00:00:00","2015-11-06 00:00:00"
175,"CACHOEIRA DE STA MARIA",48574,"URUCARA",130430,"2015-11-06 00:00:00","2015-11-06 00:00:00"
172,"BARRAQUINHA",49891,"MANICORE",130270,"2015-11-06 00:00:00","2015-11-06 00:00:00"
169,"GARROTE",49392,"MANICORE",130270,"2015-11-06 00:00:00","2015-11-06 00:00:00"
170,"ARAJAÍ",48667,"MANAQUIRI",130255,"2015-11-06 00:00:00","2015-11-06 00:00:00"
172,"BARRIGUDO",49526,"HUMAITA",130170,"2015-11-06 00:00:00","2015-11-06 00:00:00"
169,"KAMAIUÁ",47421,"MANICORE",130270,"2015-11-06 00:00:00","2015-11-06 00:00:00"
176,"MUCAJÁ",51272,"BORBA",130080,"2015-11-06 00:00:00","2015-11-06 00:00:00"
172,"SÃO JOSÉ",47083,"MANICORE",130270,"2015-11-06 00:00:00","2015-11-06 00:00:00"
171,"SANTO ANTONIO",49043,"MANACAPURU",130250,"2015-11-06 00:00:00","2015-11-06 00:00:00"
172,"SAO CARLOS",50163,"MANICORE",130270,"2015-11-06 00:00:00","2015-11-06 00:00:00"
170,"UIRAPURU",48670,"MANAQUIRI",130255,"2015-11-06 00:00:00","2015-11-06 00:00:00"
174,"NOVA UNIÃO",47997,"ITACOATIARA",130190,"2015-11-06 00:00:00","2015-11-06 00:00:00"
177,"ROUXINOL",49073,"MANAUS",130260,"2015-11-06 00:00:00","2015-11-06 00:00:00"
173,"VILA NOVA DO IGAPÓ AÇU",51402,"BORBA",130080,"2015-11-06 00:00:00","2015-11-06 00:00:00"
178,"SÃO FRANCISCO  (LAGO DO JOARI)",47864,"BERURI",130063,"2015-11-06 00:00:00","2015-11-06 00:00:00"
169,"TARACUA",49096,"MANICORE",130270,"2015-11-06 00:00:00","2015-11-06 00:00:00"
179,"BOA VISTA",49413,"CAREIRO DA VARZEA",130115,"2015-11-06 00:00:00","2015-11-06 00:00:00"
172,"PANORAMA",49398,"MANICORE",130270,"2015-11-06 00:00:00","2015-11-06 00:00:00"
180,"JUTAÍ/MALOCÃO",47076,"BORBA",130080,"2015-11-06 00:00:00","2015-11-06 00:00:00"
177,"SÃO TOMÉ",49417,"MANAUS",130260,"2015-11-06 00:00:00","2015-11-06 00:00:00"
172,"SÃO RAIMUNDO",47084,"HUMAITA",130170,"2015-11-06 00:00:00","2015-11-06 00:00:00"
181,"BEIJA FLOR III*",52162,"RIO PRETO DA EVA",130356,"2015-11-06 00:00:00","2015-11-06 00:00:00"
178,"SÃO FRANCISCO DA COLÔNIA (L. DO AYAPUÁ)",49100,"BERURI",130063,"2015-11-06 00:00:00","2015-11-06 00:00:00"
178,"SANTA RITA  (LAGO DO JOARI)",49406,"BERURI",130063,"2015-11-06 00:00:00","2015-11-06 00:00:00"
171,"SÃO FRANCISCO DO GUIRIBÉ",48597,"MANACAPURU",130250,"2015-11-06 00:00:00","2015-11-06 00:00:00"
182,"SOARES",49105,"AUTAZES",130030,"2015-11-06 00:00:00","2015-11-06 00:00:00"
177,"TRÊS UNIDOS",49414,"MANAUS",130260,"2015-11-06 00:00:00","2015-11-06 00:00:00"
176,"LARANJAL",49389,"BORBA",130080,"2015-11-06 00:00:00","2015-11-06 00:00:00"
183,"PIRARARA",49088,"MANAQUIRI",130255,"2015-11-06 00:00:00","2015-11-06 00:00:00"
175,"SERRA DO BACABA",48575,"URUCARA",130430,"2015-11-06 00:00:00","2015-11-06 00:00:00"
181,"BEIJA FLOR IV",52161,"RIO PRETO DA EVA",130356,"2015-11-06 00:00:00","2015-11-06 00:00:00"
182,"SÃO FÉLIX",49399,"AUTAZES",130030,"2015-11-06 00:00:00","2015-11-06 00:00:00"
